Comment,Designator,Footprint,LCSC Part #
100uF/35V,C1,CP_Elec_6.3x7.7,C2827942
1uF/50V,"C2,C3,C7",C_0805_2012Metric,C28323
100nF/50V,"C4,C5",C_0603_1608Metric,C14663
22nF/50V,C6,C_0603_1608Metric,C21122
2.2uF,C8,C_0603_1608Metric,C23630
100nF,C9,C_0603_1608Metric,C14663
SMBJ33A,D1,D_SMB,C78419
BZT52C12,D2,D_SOD-123,C43491
PPTC 3A/33V,F1,Fuse_2920_7451Metric,C6165175
Pico 1x12,J1,PinHeader_1x12_P2.54mm_Vertical,C124353
+24V IN,J2,TerminalBlock_bornier-2_P5.08mm,C8465
MOTOR,J3,TerminalBlock_bornier-4_P5.08mm,C430599
ENC 1x5,J4,PinHeader_1x05_P2.54mm_Vertical,
S-LP2408LT1G,Q1,SOT-23,C5273674
12k 1%,R1,R_0603_1608Metric,C22790
10k,"R10,R11,R2,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C25804
TMC5240ATJ+T,U1,TQFN-32-1EP_5x5mm_P0.5mm_EP3.4x3.4mm_ThermalVias,C7494373
