Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF/35V","CP_Elec_6.3x7.7",37.550000,-5.000000,-90.000000,top
"C2","1uF/50V","C_0805_2012Metric",38.300000,-11.500000,0.000000,top
"C3","1uF/50V","C_0805_2012Metric",31.500000,-28.600000,0.000000,top
"C4","100nF/50V","C_0603_1608Metric",34.000000,-11.500000,0.000000,top
"C5","100nF/50V","C_0603_1608Metric",35.500000,-28.600000,0.000000,top
"C6","22nF/50V","C_0603_1608Metric",26.600000,-25.400000,0.000000,top
"C7","1uF/50V","C_0805_2012Metric",29.600000,-25.500000,-90.000000,top
"C8","2.2uF","C_0603_1608Metric",16.600000,-18.750000,0.000000,top
"C9","100nF","C_0603_1608Metric",17.600000,-21.500000,-90.000000,top
"D1","SMBJ33A","D_SMB",44.900000,-6.700000,0.000000,top
"D2","BZT52C12","D_SOD-123",32.750000,-7.000000,-90.000000,top
"F1","PPTC 3A/33V","Fuse_2920_7451Metric",22.900000,-4.500000,0.000000,top
"J1","Pico 1x12","PinHeader_1x12_P2.54mm_Vertical",4.000000,-3.600000,0.000000,top
"J2","+24V IN","TerminalBlock_bornier-2_P5.08mm",9.300000,-4.500000,0.000000,top
"J3","MOTOR","TerminalBlock_bornier-4_P5.08mm",45.500000,-12.000000,-90.000000,top
"J4","ENC 1x5","PinHeader_1x05_P2.54mm_Vertical",17.000000,-33.000000,90.000000,top
"Q1","S-LP2408LT1G","SOT-23",29.500000,-4.500000,180.000000,top
"R1","12k 1%","R_0603_1608Metric",19.900000,-17.750000,0.000000,top
"R2","10k","R_0603_1608Metric",7.350000,-16.300000,0.000000,top
"R3","10k","R_0603_1608Metric",8.500000,-23.920000,0.000000,top
"R4","10k","R_0603_1608Metric",7.350000,-26.460000,0.000000,top
"R5","10k","R_0603_1608Metric",7.350000,-29.000000,0.000000,top
"R6","10k","R_0603_1608Metric",9.200000,-18.840000,0.000000,top
"R7","10k","R_0603_1608Metric",9.200000,-21.380000,0.000000,top
"R8","10k","R_0603_1608Metric",30.100000,-9.900000,-90.000000,top
"R9","10k","R_0603_1608Metric",19.000000,-29.500000,0.000000,top
"R10","10k","R_0603_1608Metric",22.300000,-29.500000,0.000000,top
"R11","10k","R_0603_1608Metric",25.600000,-29.500000,0.000000,top
"U1","TMC5240ATJ+T","TQFN-32-1EP_5x5mm_P0.5mm_EP3.4x3.4mm_ThermalVias",25.000000,-19.500000,0.000000,top
