Designator,Mid X,Mid Y,Layer,Rotation
C1,47.000mm,8.000mm,Top,-90
C2,39.000mm,13.000mm,Top,0
C3,32.500mm,30.500mm,Top,0
C4,34.000mm,13.000mm,Top,0
C5,37.000mm,30.500mm,Top,0
C6,29.300mm,27.400mm,Top,0
C7,32.100mm,27.500mm,Top,-90
C8,19.900mm,21.250mm,Top,0
C9,21.000mm,24.000mm,Top,-90
D1,41.000mm,6.500mm,Top,-90
D2,36.500mm,7.500mm,Top,-90
F1,24.600mm,4.500mm,Top,0
J1,4.000mm,5.000mm,Top,0
J2,12.000mm,4.500mm,Top,0
J3,55.500mm,12.000mm,Top,-90
J4,20.000mm,38.500mm,Top,90
Q1,32.500mm,4.500mm,Top,180
R1,22.900mm,20.250mm,Top,0
R2,6.600mm,15.200mm,Top,-90
R3,8.500mm,25.320mm,Top,0
R4,7.350mm,27.860mm,Top,0
R5,7.350mm,30.400mm,Top,0
R6,8.500mm,20.240mm,Top,0
R7,8.500mm,22.780mm,Top,0
R8,33.600mm,10.200mm,Top,-90
R9,22.540mm,34.800mm,Top,-90
R10,25.080mm,34.800mm,Top,-90
R11,27.620mm,34.800mm,Top,-90
U1,28.000mm,22.000mm,Top,0
