Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF/35V","CP_Elec_6.3x7.7",47.000000,-8.000000,-90.000000,top
"C2","1uF/50V","C_0805_2012Metric",39.000000,-13.000000,0.000000,top
"C3","1uF/50V","C_0805_2012Metric",32.500000,-30.500000,0.000000,top
"C4","100nF/50V","C_0603_1608Metric",34.000000,-13.000000,0.000000,top
"C5","100nF/50V","C_0603_1608Metric",37.000000,-30.500000,0.000000,top
"C6","22nF/50V","C_0603_1608Metric",29.300000,-27.400000,0.000000,top
"C7","1uF/50V","C_0805_2012Metric",32.100000,-27.500000,-90.000000,top
"C8","2.2uF","C_0603_1608Metric",19.900000,-21.250000,0.000000,top
"C9","100nF","C_0603_1608Metric",21.000000,-24.000000,-90.000000,top
"D1","SMBJ33A","D_SMB",41.000000,-6.500000,-90.000000,top
"D2","BZT52C12","D_SOD-123",36.500000,-7.500000,-90.000000,top
"F1","PPTC 3A/33V","Fuse_2920_7451Metric",24.600000,-4.500000,0.000000,top
"J1","Pico 1x12","PinHeader_1x12_P2.54mm_Vertical",4.000000,-5.000000,0.000000,top
"J2","+24V IN","TerminalBlock_bornier-2_P5.08mm",12.000000,-4.500000,0.000000,top
"J3","MOTOR","TerminalBlock_bornier-4_P5.08mm",55.500000,-12.000000,-90.000000,top
"J4","ENC 1x5","PinHeader_1x05_P2.54mm_Vertical",20.000000,-38.500000,90.000000,top
"Q1","S-LP2408LT1G","SOT-23",32.500000,-4.500000,180.000000,top
"R1","12k 1%","R_0603_1608Metric",22.900000,-20.250000,0.000000,top
"R2","10k","R_0603_1608Metric",6.600000,-15.200000,-90.000000,top
"R3","10k","R_0603_1608Metric",8.500000,-25.320000,0.000000,top
"R4","10k","R_0603_1608Metric",7.350000,-27.860000,0.000000,top
"R5","10k","R_0603_1608Metric",7.350000,-30.400000,0.000000,top
"R6","10k","R_0603_1608Metric",8.500000,-20.240000,0.000000,top
"R7","10k","R_0603_1608Metric",8.500000,-22.780000,0.000000,top
"R8","10k","R_0603_1608Metric",33.600000,-10.200000,-90.000000,top
"R9","10k","R_0603_1608Metric",22.540000,-34.800000,-90.000000,top
"R10","10k","R_0603_1608Metric",25.080000,-34.800000,-90.000000,top
"R11","10k","R_0603_1608Metric",27.620000,-34.800000,-90.000000,top
"U1","TMC5240ATJ+T","TQFN-32-1EP_5x5mm_P0.5mm_EP3.4x3.4mm_ThermalVias",28.000000,-22.000000,0.000000,top
